ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5000000,M,N,Y,1,72759.78,Working,Secondary / secondary special,Married,With parents,-23452,-34,1,0,1,0,Laborers,2
5000001,F,N,Y,0,85185.72,Working,Secondary / secondary special,Civil marriage,House / apartment,-14560,-5117,1,0,0,0,Laborers,1
5000002,F,Y,Y,2,119006.0,Working,Higher education,Married,House / apartment,-15222,-438,1,0,0,1,Sales staff,4
5000003,F,N,Y,1,62836.56,Working,Secondary / secondary special,Single / not married,House / apartment,-25412,-3800,1,0,0,0,Laborers,2
5000004,M,N,N,0,44697.08,Commercial associate,Secondary / secondary special,Separated,House / apartment,-22721,-2919,1,0,0,0,Managers,2
5000005,M,Y,Y,0,36224.4,Working,Higher education,Separated,House / apartment,-11244,-4462,1,0,0,0,Drivers,1
5000006,M,N,Y,0,17281.66,Working,Secondary / secondary special,Separated,House / apartment,-17839,-4461,1,0,1,0,Laborers,1
5000007,F,Y,Y,1,78034.14,Working,Secondary / secondary special,Married,House / apartment,-21898,-1887,1,1,1,0,Sales staff,2
5000008,F,N,Y,0,53506.37,Working,Secondary / secondary special,Single / not married,House / apartment,-24121,-5140,1,0,1,0,Medicine staff,2
5000009,F,Y,Y,1,44658.42,Working,Incomplete higher,Married,House / apartment,-13154,-6713,1,0,1,0,Managers,3
5000010,M,N,Y,0,26698.92,Working,Higher education,Civil marriage,With parents,-25063,-5798,1,1,0,0,Managers,2
5000011,F,N,Y,1,30224.09,State servant,Secondary / secondary special,Married,House / apartment,-15486,-7066,1,1,0,0,Drivers,2
5000012,F,N,Y,0,28793.08,Working,Higher education,Married,House / apartment,-7739,-4877,1,0,0,1,Medicine staff,2
5000013,M,Y,N,0,117242.64,Commercial associate,Secondary / secondary special,Separated,With parents,-17060,-3363,1,1,1,1,Accountants,2
5000014,M,N,Y,0,42415.99,Pensioner,Secondary / secondary special,Civil marriage,Municipal apartment,-17401,365243,1,0,0,0,Core staff,2
5000015,M,N,Y,1,35407.89,Working,Higher education,Separated,House / apartment,-20303,-1256,1,0,1,0,Laborers,3
5000016,M,N,N,0,102311.9,Working,Secondary / secondary special,Married,House / apartment,-11323,-3721,1,0,0,0,Core staff,2
5000017,F,N,N,0,35420.14,Working,Secondary / secondary special,Married,With parents,-11447,-6807,1,0,0,0,Medicine staff,2
5000018,M,N,N,1,71705.26,Commercial associate,Secondary / secondary special,Separated,House / apartment,-25498,-5214,1,1,0,0,Sales staff,3
5000019,M,N,N,0,71780.8,Commercial associate,Secondary / secondary special,Married,House / apartment,-12271,-494,1,0,0,0,High skill tech staff,1
5000020,F,N,Y,2,46992.42,Working,Secondary / secondary special,Separated,House / apartment,-19636,-569,1,0,0,0,High skill tech staff,4
5000021,M,N,N,0,27800.96,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23404,365243,1,0,0,0,Drivers,1
5000022,M,N,Y,0,62220.58,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-24227,-3825,1,1,0,0,Laborers,2
5000023,M,N,Y,0,43217.87,Working,Secondary / secondary special,Single / not married,House / apartment,-8038,-5551,1,0,1,0,Managers,1
5000024,F,Y,N,1,35643.14,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-8273,365243,1,0,0,0,Sales staff,2
5000025,F,N,Y,0,55823.69,Working,Secondary / secondary special,Married,House / apartment,-14663,-1255,1,0,0,0,Drivers,2
5000026,M,N,N,0,48399.37,Commercial associate,Secondary / secondary special,Widow,House / apartment,-23986,-3295,1,0,0,0,Accountants,2
5000027,F,Y,N,1,80463.61,Working,Secondary / secondary special,Married,House / apartment,-19271,-2117,1,0,0,0,Laborers,2
5000028,F,N,Y,0,42044.21,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-19347,-2482,1,1,0,0,Core staff,2
5000029,M,N,N,1,75959.44,Working,Higher education,Married,House / apartment,-20286,-1772,1,0,1,1,High skill tech staff,3
5000030,F,Y,Y,0,52597.48,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-7423,-783,1,1,1,0,Accountants,2
5000031,M,N,Y,0,43101.68,Working,Higher education,Single / not married,House / apartment,-10789,-2817,1,0,0,0,Laborers,2
5000032,M,Y,N,0,70310.02,Commercial associate,Higher education,Married,House / apartment,-7262,-616,1,0,0,0,Sales staff,1
5000033,F,Y,Y,0,36411.04,Working,Secondary / secondary special,Single / not married,Rented apartment,-7895,-2726,1,1,1,0,Managers,2
5000034,F,N,N,0,72528.81,Working,Incomplete higher,Civil marriage,House / apartment,-13060,-6980,1,0,1,0,Managers,2
5000035,F,Y,Y,0,61072.43,Working,Higher education,Single / not married,House / apartment,-12664,-2269,1,1,1,0,Sales staff,2
5000036,M,Y,Y,0,99853.43,Working,Incomplete higher,Married,House / apartment,-15845,-2055,1,0,0,0,High skill tech staff,1
