ID,MONTHS_BALANCE,STATUS
5000000,0,X
5000000,-1,X
5000000,-2,C
5000000,-3,C
5000000,-4,X
5000000,-5,X
5000000,-6,C
5000000,-7,C
5000000,-8,X
5000000,-9,X
5000000,-10,X
5000000,-11,X
5000000,-12,X
5000000,-13,C
5000000,-14,X
5000000,-15,C
5000000,-16,C
5000000,-17,X
5000000,-18,C
5000000,-19,X
5000000,-20,C
5000001,0,X
5000001,-1,X
5000001,-2,C
5000001,-3,C
5000001,-4,C
5000001,-5,X
5000001,-6,X
5000001,-7,C
5000001,-8,C
5000001,-9,C
5000001,-10,X
5000001,-11,C
5000001,-12,C
5000001,-13,X
5000001,-14,C
5000001,-15,X
5000001,-16,X
5000001,-17,C
5000001,-18,C
5000001,-19,X
5000001,-20,X
5000002,0,X
5000002,-1,C
5000002,-2,X
5000002,-3,C
5000002,-4,X
5000002,-5,1
5000002,-6,X
5000002,-7,X
5000002,-8,C
5000002,-9,X
5000002,-10,C
5000002,-11,C
5000002,-12,C
5000002,-13,X
5000002,-14,X
5000002,-15,C
5000002,-16,C
5000002,-17,C
5000003,0,X
5000003,-1,X
5000003,-2,X
5000003,-3,C
5000003,-4,X
5000003,-5,C
5000003,-6,C
5000003,-7,C
5000003,-8,C
5000003,-9,X
5000003,-10,C
5000003,-11,C
5000003,-12,C
5000003,-13,C
5000003,-14,C
5000003,-15,X
5000004,0,X
5000004,-1,C
5000004,-2,C
5000004,-3,0
5000004,-4,X
5000004,-5,C
5000004,-6,0
5000004,-7,C
5000004,-8,C
5000005,0,X
5000005,-1,C
5000005,-2,0
5000005,-3,X
5000005,-4,C
5000005,-5,C
5000005,-6,X
5000005,-7,1
5000005,-8,X
5000005,-9,X
5000005,-10,X
5000005,-11,C
5000005,-12,0
5000005,-13,X
5000005,-14,C
5000006,0,C
5000006,-1,1
5000006,-2,X
5000006,-3,X
5000006,-4,C
5000006,-5,X
5000006,-6,X
5000006,-7,C
5000006,-8,X
5000006,-9,C
5000006,-10,X
5000006,-11,X
5000006,-12,X
5000006,-13,X
5000006,-14,X
5000006,-15,C
5000006,-16,X
5000006,-17,X
5000006,-18,C
5000006,-19,X
5000007,0,X
5000007,-1,X
5000007,-2,X
5000007,-3,C
5000007,-4,X
5000007,-5,C
5000007,-6,X
5000007,-7,X
5000007,-8,C
5000007,-9,C
5000007,-10,X
5000007,-11,C
5000007,-12,0
5000007,-13,C
5000007,-14,X
5000007,-15,X
5000007,-16,X
5000007,-17,C
5000007,-18,X
5000007,-19,X
5000007,-20,X
5000007,-21,C
5000007,-22,X
5000008,0,C
5000008,-1,C
5000008,-2,X
5000008,-3,X
5000008,-4,C
5000008,-5,4
5000008,-6,X
5000008,-7,X
5000008,-8,C
5000008,-9,X
5000008,-10,C
5000009,0,C
5000009,-1,C
5000009,-2,X
5000009,-3,X
5000009,-4,X
5000009,-5,C
5000009,-6,X
5000009,-7,X
5000009,-8,X
5000010,0,4
5000010,-1,C
5000010,-2,X
5000010,-3,X
5000010,-4,C
5000010,-5,X
5000010,-6,3
5000010,-7,1
5000011,0,C
5000011,-1,C
5000011,-2,C
5000011,-3,X
5000011,-4,C
5000011,-5,X
5000011,-6,X
5000011,-7,C
5000011,-8,X
5000011,-9,1
5000011,-10,C
5000011,-11,X
5000011,-12,X
5000011,-13,0
5000011,-14,C
5000011,-15,C
5000011,-16,X
5000011,-17,X
5000011,-18,X
5000011,-19,X
5000011,-20,C
5000011,-21,X
5000011,-22,1
5000012,0,C
5000012,-1,0
5000012,-2,X
5000012,-3,X
5000012,-4,X
5000012,-5,X
5000012,-6,X
5000012,-7,C
5000012,-8,C
5000012,-9,0
5000012,-10,X
5000013,0,C
5000013,-1,X
5000013,-2,C
5000013,-3,C
5000013,-4,X
5000013,-5,X
5000013,-6,C
5000013,-7,C
5000013,-8,C
5000013,-9,C
5000013,-10,C
5000013,-11,C
5000013,-12,C
5000014,0,X
5000014,-1,X
5000014,-2,X
5000014,-3,C
5000014,-4,X
5000014,-5,C
5000014,-6,X
5000014,-7,X
5000015,0,X
5000015,-1,X
5000015,-2,X
5000015,-3,0
5000015,-4,3
5000015,-5,X
5000015,-6,X
5000015,-7,0
5000015,-8,X
5000015,-9,0
5000015,-10,C
5000015,-11,0
5000015,-12,0
5000015,-13,X
5000015,-14,5
5000015,-15,4
5000015,-16,2
5000015,-17,X
5000015,-18,C
5000015,-19,C
5000015,-20,X
5000015,-21,X
5000015,-22,X
5000016,0,C
5000016,-1,C
5000016,-2,C
5000016,-3,X
5000016,-4,X
5000016,-5,C
5000016,-6,X
5000016,-7,C
5000016,-8,X
5000016,-9,X
5000016,-10,X
5000016,-11,C
5000016,-12,X
5000016,-13,X
5000016,-14,C
5000016,-15,X
5000016,-16,X
5000016,-17,C
5000016,-18,X
5000016,-19,X
5000016,-20,C
5000016,-21,C
5000016,-22,X
5000016,-23,X
5000017,0,3
5000017,-1,X
5000017,-2,X
5000017,-3,X
5000017,-4,C
5000017,-5,X
5000017,-6,X
5000017,-7,X
5000017,-8,C
5000017,-9,C
5000017,-10,X
5000017,-11,X
5000017,-12,X
5000017,-13,X
5000017,-14,X
5000017,-15,X
5000017,-16,0
5000017,-17,X
5000017,-18,0
5000017,-19,X
5000017,-20,X
5000017,-21,0
5000017,-22,0
5000017,-23,X
5000018,0,C
5000018,-1,X
5000018,-2,X
5000018,-3,C
5000018,-4,C
5000018,-5,C
5000018,-6,C
5000018,-7,X
5000018,-8,X
5000018,-9,X
5000018,-10,C
5000018,-11,X
5000018,-12,X
5000018,-13,X
5000018,-14,C
5000018,-15,X
5000018,-16,X
5000018,-17,C
5000019,0,C
5000019,-1,C
5000019,-2,C
5000019,-3,C
5000019,-4,X
5000019,-5,C
5000019,-6,X
5000019,-7,X
5000019,-8,X
5000019,-9,C
5000019,-10,X
5000019,-11,X
5000019,-12,X
5000019,-13,X
5000019,-14,X
5000020,0,X
5000020,-1,C
5000020,-2,C
5000020,-3,X
5000020,-4,0
5000020,-5,C
5000020,-6,C
5000020,-7,C
5000020,-8,X
5000020,-9,X
5000020,-10,X
5000020,-11,C
5000020,-12,C
5000020,-13,X
5000020,-14,X
5000020,-15,C
5000020,-16,0
5000020,-17,4
5000021,0,0
5000021,-1,X
5000021,-2,X
5000021,-3,C
5000021,-4,C
5000021,-5,C
5000021,-6,X
5000021,-7,1
5000021,-8,0
5000021,-9,X
5000021,-10,C
5000021,-11,X
5000021,-12,0
5000022,0,C
5000022,-1,X
5000022,-2,X
5000022,-3,C
5000022,-4,X
5000022,-5,C
5000022,-6,X
5000022,-7,X
5000022,-8,C
5000022,-9,C
5000022,-10,X
5000022,-11,X
5000022,-12,C
5000022,-13,C
5000023,0,C
5000023,-1,X
5000023,-2,C
5000023,-3,C
5000023,-4,C
5000023,-5,C
5000023,-6,C
5000023,-7,C
5000023,-8,2
5000023,-9,C
5000023,-10,X
5000023,-11,X
5000024,0,X
5000024,-1,C
5000024,-2,C
5000024,-3,0
5000024,-4,X
5000024,-5,C
5000024,-6,X
5000024,-7,X
5000024,-8,X
5000024,-9,2
5000024,-10,C
